Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS01G02992,2017.06,575,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2018.06,903,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2019.06,847,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2020.06,938,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2021.06,769,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2022.06,1136,REVISED,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02992,2023.06,1212,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other capital transfers,,,,
GFSA.SLS01G02998,2009.06,4097,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2010.06,4289,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2011.06,4473,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2012.06,4653,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2013.06,4814,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2014.06,5107,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2015.06,5389,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2016.06,5749,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2017.06,6051,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
GFSA.SLS01G02998,2018.06,6360,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Taxation revenue,,,,
